chan_id,spacecraft,anomaly_sequences,class,num_values,type,class1,class2,Class_Or,L,,MA,,F,
T-1-1,SMAP,"[[2399,3898]]",[point],5224,"[continuous,periodic]",magnitude,magnitude,magnitude,1,1,1,1,1,1
T-1-2,SMAP,"[[1326,1361]]",[contextual],3388,"[continuous,periodic]",wave,wave,wave,1,1,1,1,1,1
T-2,SMAP,"[[6840, 8624]]",[point],8625,"[continuous,periodic]",magnitude,magnitude,magnitude,0,0,1,1,1,1
T-3-1,SMAP,"[[2098, 2180]]",[point],3690,"[continuous,periodic]",point,point,point,1,1,1,1,1,1
T-3-2,SMAP,"[[1510,1610]]",[point],4889,"[continuous,periodic]",point,point,point,1,1,1,1,1,1
C-1-1,MSL,"[[550,750]]",[point],1425,[continuous],wave,wave,,1,0,0,0,1,1
C-1-2,MSL,"[[675,785]]",[contextual],839,[continuous],magnitude,magnitude,,0,0,0,0,0,0
C-2-1,MSL,"[[290, 390]]",[point],965,[continuous],magnitude,magnitude,,1,0,1,1,1,1
C-2-2,MSL,"[[575,610]]",[contextual],1086,[continuous],wave,wave,,0,0,0,0,1,1
D-14-1,MSL,"[[1630,1650]]",[point],1725,[binary],point,point,,1,1,1,1,1,1
D-14-2,MSL,"[[75,275]]",[point],900,[binary],magnitude,magnitude,,1,0,1,1,1,1
D-15,MSL,"[[1500, 2140]]",[point],2158,"[continuous,periodic]",magnitude,magnitude,,1,0,1,1,1,0
D-16,MSL,"[[600, 1250]]",[contextual],2191,"[continuous,periodic]",magnitude,frequency,,1,0,1,1,1,1
F-4,MSL,"[[2700, 2770]]",[point],3422,[continuous],wave,wave,,1,0,1,1,1,1
F-5,MSL,"[[3550, 3700]]",[point],3922,[continuous],magnitude,magnitude,,1,0,1,1,1,1
F-7-1,MSL,"[[1250, 1450]]",[contextual],2060,[continuous],wave,wave,,1,0,1,1,0,0
F-7-2,MSL,"[[610,730]]",[contextual],997,[continuous],magnitude,wave,,0,0,1,1,1,1
F-7-3,MSL,"[[267,367]]",[contextual],1997,[continuous],magnitude,wave,,0,0,1,1,0,0
F-8,MSL,"[[1950, 2486]]",[contextual],2487,[continuous],magnitude,wave,,1,0,1,0,1,1
M-1,MSL,"[[1110, 2250]]",[contextual],2277,[continuous],magnitude,wave,,0,0,0,0,0,0
M-2,MSL,"[[1110, 2250]]",[contextual],2277,[continuous],magnitude,magnitude,,1,1,1,1,1,1
M-3,MSL,"[[1250, 1500]]",[contextual],2127,[continuous],wave,wave,,1,0,1,1,0,0
M-4,MSL,"[[1250, 1500]]",[contextual],2038,[continuous],wave,wave,,1,0,1,1,1,1
M-5,MSL,"[[1250, 1550]]",[contextual],2303,[continuous],wave,wave,,1,0,0,0,0,0
M-6,MSL,"[[1850, 2030]]",[point],2049,[continuous],magnitude,magnitude,,1,0,1,1,1,1
M-7,MSL,"[[940, 1040]]",[point],2156,[continuous],magnitude,magnitude,,1,0,1,1,1,1
P-10,MSL,"[[4590, 4720]]",[point],6100,[continuous],magnitude,change,,1,0,0,0,1,1
P-11-1,MSL,"[ [1238, 1344]]",[point],1621,[continuous],magnitude,magnitude,,1,1,1,1,1,1
P-11-2,MSL,"[[277,397]]",[point],1914,[continuous],point,point,,1,1,1,1,1,1
P-14,MSL,"[[4575, 4755]]",[point],6100,[continuous],magnitude,change,,1,0,0,0,1,1
P-15,MSL,"[[1390, 1410]]",[point],2856,[continuous],change,change,,1,1,0,0,1,1
S-2,MSL,"[[900, 910]]",[point],1827,[binary],point,point,,1,1,1,1,1,1
T-12,MSL,"[[630, 750]]",[contextual],2430,[continuous],wave,wave,,1,1,1,1,0,0
T-13-1,MSL,"[[690, 790]]",[contextual],1345,[continuous],change,change,,1,1,0,0,1,1
T-13-2,MSL,"[[555,705]]",[contextual],1085,[continuous],change,change,,1,1,0,0,1,1
T-4,MSL,"[[1172, 1240]]",[point],2217,"[continuous,periodic]",magnitude,wave,,1,0,0,0,1,1
T-5,MSL,"[[1200, 1225]]",[point],2218,[continuous],magnitude,point,,1,0,1,1,1,1
T-8-1,MSL,"[[870, 930]]",[contextual],1130,[continuous],magnitude,frequency,,0,0,1,1,1,1
T-8-2,MSL,"[[200,240]]",[contextual],389,[continuous],magnitude,frequency,,0,0,1,1,1,1
T-9-1,MSL,"[[780, 810]]",[point],850,[continuous],magnitude,wave,,1,1,1,1,1,1
